"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude","full_name","mean_preflight_temp","sd_preflight_temp","max_preflight_monthly_mean","max_preflight_temp"
"IGproject0073","Nomada","goodeniana","female",1914,4,20,"England","Devon","Budleigh Salterton","",2.936,1.91,8.907,2.471,"Apidae","kleptoparasite","OUMNH",1.935,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844,"Nomada goodeniana",11.4406818838415,2.74117061944925,13.960938372497,17.849471512187
"IGproject0074","Nomada","goodeniana","male",1915,4,30,"England","Devon","Brixham","",3.223,2.197,10.305,2.826,"Apidae","kleptoparasite","OUMNH",2.215,"Brixham, Devon, England",50.3952404,-3.514544,"Nomada goodeniana",12.3574396336247,2.40054637640603,14.9952012785908,18.959369419758
"IGproject0075","Nomada","goodeniana","male",1902,5,18,"England","Kent","Faversham","Huntingfield",2.952,1.963,8.989,2.407,"Apidae","kleptoparasite","OUMNH",1.938,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Nomada goodeniana",10.8595952532181,2.90530364402879,13.8746022746256,19.1756978798996
"IGproject0076","Nomada","goodeniana","male",1909,5,9,"England","Oxfordshire","Oxford","Shotover",2.933,2.01,8.812,2.442,"Apidae","kleptoparasite","OUMNH",1.954,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229,"Nomada goodeniana",11.0271398957954,4.62178690452506,14.5829547574355,20.287497910909
"IGproject0077","Nomada","goodeniana","female",1953,8,10,"England","Devon","Dawlish","",2.844,1.86,8.422,2.384,"Apidae","kleptoparasite","OUMNH",1.879,"Dawlish, Devon, England",50.5797391,-3.468931,"Nomada goodeniana",12.0042538331076,2.52762092544614,14.2218988403468,18.5672554833583
"IGproject0078","Nomada","goodeniana","female",1910,6,8,"England","Devon","Budleigh Salterton","",3.196,2.103,9.852,2.829,"Apidae","kleptoparasite","OUMNH",2.114,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844,"Nomada goodeniana",11.344251294808,1.70305364465282,13.0170883462255,16.3939046041743
"IGproject0079","Nomada","goodeniana","male",1900,4,21,"England","Surrey","Woking","",3.108,2.203,9.466,2.564,"Apidae","kleptoparasite","OUMNH",2.095,"Woking, Surrey, England",51.3201891,-0.5564726,"Nomada goodeniana",11.7238398915563,3.81283562859993,15.9716136068785,22.236799864146
"IGproject0080","Nomada","goodeniana","female",1941,6,2,"England","Hampshire","Burley","",3.167,2.167,9.681,2.769,"Apidae","kleptoparasite","OUMNH",2.034,"Burley, Hampshire, England",50.8266,-1.70164,"Nomada goodeniana",12.6030973898533,3.88544583545018,16.4926265319244,23.0673001099445
"IGproject0081","Nomada","goodeniana","female",1900,6,3,"England","Oxfordshire","Oxford","Shotover",2.715,1.731,8.141,2.39,"Apidae","kleptoparasite","OUMNH",1.853,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229,"Nomada goodeniana",11.2137818007644,3.78540695435975,15.4140427843454,21.5862644927787
"IGproject0082","Nomada","goodeniana","female",1983,1,28,"England","Berkshire","Slough","Langley",2.705,1.74,8.177,2.325,"Apidae","kleptoparasite","OUMNH",1.85,"Langley, Slough, Berkshire, England",51.507818,-0.5409049,"Nomada goodeniana",12.7100669169345,3.76330924965364,16.6589627679294,21.1043592069522
"IGproject0083","Nomada","goodeniana","female",1991,5,22,"England","Hampshire","Bramshaw","",2.716,1.763,8.231,2.365,"Apidae","kleptoparasite","OUMNH",1.763,"Bramshaw, Hampshire, England",50.9407584,-1.617454,"Nomada goodeniana",11.7229864135182,2.86531370308003,13.596716244891,19.4127809215105
"IGproject0084","Nomada","goodeniana","female",1917,5,3,"England","Surrey","Guildford","Merrow",2.925,1.973,8.945,2.55,"Apidae","kleptoparasite","OUMNH",1.97,"Merrow, Guildford, Surrey, England",51.2443481,-0.5335147,"Nomada goodeniana",10.9509990125962,2.03571066177661,12.3735820343848,17.9438471039161
"IGproject0085","Nomada","goodeniana","female",1954,4,16,"England","Devon","Torquay","",3.161,2.145,9.751,2.706,"Apidae","kleptoparasite","OUMNH",2.187,"Torquay, Devon, England",50.4652392,-3.5211361,"Nomada goodeniana",11.9631879270299,3.10783199547573,14.6564038156974,18.2033824743713
"IGproject0086","Nomada","goodeniana","female",1955,5,20,"England","Devon","Dawlish","",3.21,2.232,9.795,2.634,"Apidae","kleptoparasite","OUMNH",2.145,"Dawlish, Devon, England",50.5797391,-3.468931,"Nomada goodeniana",10.8917531928669,2.75034417773501,13.4748340622569,16.6696127292929
"IGproject0087","Nomada","goodeniana","female",1977,6,12,"England","Oxfordshire","Hook Norton","",3.011,2.014,9.361,2.579,"Apidae","kleptoparasite","OUMNH",2.025,"Hook Norton, Oxfordshire, England",51.9939848,-1.4822644,"Nomada goodeniana",11.3260084741402,4.67355168250056,16.2025413045668,22.7944282257682
"IGproject0090","Lasioglossum","fulvicorne","female",1998,5,21,"England","Devon","Salcombe","Coast Path",1.836,1.324,5.315,1.331,"Halictidae","excavator","OUMNH",1.15,"Coast Path, Salcombe, Devon, England",50.2375257,-3.769493274,"Lasioglossum fulvicorne",13.8680044324425,3.23667708542006,17.9379738992481,20.8101536171657
"IGproject0091","Lasioglossum","fulvicorne","female",1991,6,9,"England","Cambridgeshire","Barnack","Barnack Hills and Holes",1.815,1.355,5.386,1.43,"Halictidae","excavator","OUMNH",1.143,"Barnack Hills and Holes, Barnack, Cambridgeshire, England",52.62910152,-0.412116287,"Lasioglossum fulvicorne",14.1010106849268,4.25887903671829,19.0565400835848,25.2088426238134
"IGproject0092","Lasioglossum","fulvicorne","male",1998,7,28,"England","Gloucestershire","Wotton-under-Edge","Newark Park",1.79,1.396,5.295,1.221,"Halictidae","excavator","OUMNH",1.056,"Newark Park, Wotton-under-Edge, Gloucestershire, England",51.6363693,-2.3176907,"Lasioglossum fulvicorne",13.7292804958634,3.94933249059843,18.5491618846339,22.9941853316088
"IGproject0093","Lasioglossum","fulvicorne","female",1956,6,26,"England","Dorset","Wimborne","",1.827,1.347,5.357,1.432,"Halictidae","excavator","OUMNH",1.126,"Wimborne, Dorset, England",50.7995189,-1.987339,"Lasioglossum fulvicorne",13.868335772547,4.27665209463136,18.1418415093687,23.981433556457
"IGproject0094","Lasioglossum","fulvicorne","male",1902,8,4,"England","Kent","Faversham","Huntingfield",1.731,1.291,5.377,1.195,"Halictidae","excavator","OUMNH",1.066,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Lasioglossum fulvicorne",13.2352726657899,3.85488132385129,17.1379331428239,22.8189475840829
